repo,description,language,license,stars,forks,watchers,open_issues,closed_issues,issue_resolution_rate,closed_issues_last_window,open_created_last_window,issue_resolution_rate_last_window,created_at,updated_at,pushed_at,days_since_last_update,commits_last_180_days,contributors_count,archived,scraped_at,commits_window,contributors,popularity_raw,stars_n,commits_n,contributors_n,issues_n,staleness_n,composite_score
mzjb/DeepH-pack,Deep neural networks for density functional theory Hamiltonian.,Python,LGPL-3.0,299,60,6,25,41,0.6212121212121212,0,3,0.0,2022-05-13T02:51:32Z,2025-10-21T02:11:59Z,2024-10-07T10:24:16Z,381,0,8,False,2025-10-24T02:55:44Z,0,8,221.89999999999998,0.17398156629764244,0.0,0.26857219977516145,0.6212121212121212,0.8735059760956175,0.2911708573095809
gasteigerjo/dimenet,"DimeNet and DimeNet++ models, as proposed in ""Directional Message Passing for Molecular Graphs"" (ICLR 2020) and ""Fast and Uncertainty-Aware Directional Message Passing for Non-Equilibrium Molecules"" (NeurIPS-W 2020)",Python,NOASSERTION,340,66,3,1,31,0.96875,0,0,,2020-02-14T12:40:15Z,2025-10-07T11:59:12Z,2023-10-03T09:57:19Z,751,0,2,False,2025-10-24T02:53:44Z,0,2,251.49999999999997,0.19808454863454827,0.0,0.07240096570168814,0.96875,0.75066401062417,0.2880002796464761
LPDI-EPFL/masif,MaSIF- Molecular surface interaction fingerprints. Geometric deep learning to decipher patterns in molecular surfaces.,Python,Apache-2.0,693,163,24,53,33,0.3837209302325581,0,0,,2019-03-14T10:30:07Z,2025-10-23T19:03:13Z,2024-06-19T17:40:17Z,491,0,7,False,2025-10-24T02:51:40Z,0,7,520.0999999999999,0.3317873231204383,0.0,0.2475405367435704,0.3837209302325581,0.8369853917662683,0.28608864367751274
maxhodak/keras-molecules,Autoencoder network for learning a continuous representation of molecular structures.,Python,MIT,529,147,41,40,19,0.3220338983050847,0,0,,2016-10-24T19:30:44Z,2025-10-22T18:39:04Z,2024-08-02T16:08:50Z,447,0,7,False,2025-10-24T02:52:34Z,0,7,403.79999999999995,0.2810609977484001,0.0,0.2475405367435704,0.3220338983050847,0.851593625498008,0.26561483091855614
mordred-descriptor/mordred,a molecular descriptor calculator,Python,BSD-3-Clause,440,103,19,53,41,0.4361702127659574,0,1,0.0,2015-12-31T19:08:53Z,2025-10-21T18:27:19Z,2024-02-07T21:10:44Z,624,0,5,False,2025-10-24T02:52:39Z,0,5,330.5,0.24647159479785044,0.0,0.1961712340734733,0.4361702127659574,0.7928286852589641,0.255369107658621
aqlaboratory/proteinnet,Standardized data set for machine learning of protein structure,Python,MIT,904,134,52,16,13,0.4482758620689655,0,0,,2018-03-10T21:07:59Z,2025-10-16T14:35:18Z,2020-11-18T23:43:32Z,1800,0,4,False,2025-10-24T02:59:06Z,0,4,664.8,0.38173618700626716,0.0,0.1636153950724116,0.4482758620689655,0.40239043824701193,0.2438183186547157
wengong-jin/icml18-jtnn,Junction Tree Variational Autoencoder for Molecular Graph Generation (ICML 2018),Python,MIT,536,196,18,30,31,0.5081967213114754,0,0,,2018-02-24T20:39:55Z,2025-10-23T08:30:04Z,2022-12-01T17:36:05Z,1057,0,3,False,2025-10-24T02:52:33Z,0,3,416.2,0.28352982948079264,0.0,0.12377026837178523,0.5081967213114754,0.649070385126162,0.24296157117248196
igashov/DiffLinker,DiffLinker: Equivariant 3D-Conditional Diffusion Model for Molecular Linker Design,Python,MIT,356,53,5,7,7,0.5,0,1,0.0,2022-09-28T20:04:04Z,2025-10-20T07:29:02Z,2024-04-17T17:16:13Z,554,0,3,False,2025-10-24T02:53:41Z,0,3,260.3,0.20671219395610363,0.0,0.12377026837178523,0.5,0.8160690571049136,0.23922752129246358
MarcusOlivecrona/REINVENT,Molecular De Novo design using Recurrent Neural Networks and Reinforcement Learning,Python,MIT,330,116,18,5,13,0.7222222222222222,0,0,,2017-05-05T14:21:42Z,2025-10-16T17:06:44Z,2021-07-20T11:47:25Z,1556,0,3,False,2025-10-24T02:53:48Z,0,3,256.0,0.19248420821447598,0.0,0.12377026837178523,0.7222222222222222,0.48339973439575035,0.23573692591947365
matejak/imreg_dft,Image registration using discrete Fourier transform.,Python,NOASSERTION,270,72,11,23,20,0.4651162790697674,0,0,,2014-05-06T21:31:45Z,2025-10-01T09:12:46Z,2023-03-09T17:07:56Z,959,0,6,False,2025-10-24T02:55:47Z,0,6,204.5,0.15485278252697166,0.0,0.22369680374613665,0.4651162790697674,0.6816069057104914,0.23256552899979133
rpmuller/pyquante2,Python Quantum Chemistry Reloaded. This is a rewrite of the standard PyQuante program to clean up things that have been nagging me.,Python,NOASSERTION,155,63,35,4,4,0.5,0,0,,2011-04-15T23:41:36Z,2025-05-20T08:23:53Z,2024-04-02T02:43:01Z,570,0,7,False,2025-10-24T02:56:58Z,0,7,124.6,0.05094036590521518,0.0,0.2475405367435704,0.5,0.8107569721115537,0.23069592287335178
tencent-ailab/grover,This is a Pytorch implementation of the paper: Self-Supervised Graph Transformer on Large-Scale Molecular Data,Python,NOASSERTION,371,78,6,18,3,0.1428571428571428,0,0,,2021-01-18T07:17:41Z,2025-10-22T08:56:20Z,2025-06-24T15:44:44Z,121,1,3,False,2025-10-24T02:53:38Z,1,3,275.90000000000003,0.21445639593881738,0.08404883083224482,0.12377026837178523,0.1428571428571428,0.9598273572377158,0.22298018093805486
wengong-jin/hgraph2graph,Hierarchical Generation of Molecular Graphs using Structural Motifs,Python,MIT,411,117,7,43,10,0.1886792452830188,0,0,,2019-10-17T21:27:45Z,2025-10-23T08:30:07Z,2022-06-28T13:55:04Z,1213,0,7,False,2025-10-24T02:52:45Z,0,7,311.79999999999995,0.2336728312660263,0.0,0.2475405367435704,0.1886792452830188,0.5972775564409031,0.2083329844389423
MinkaiXu/GeoDiff,Implementation of GeoDiff: a Geometric Diffusion Model for Molecular Conformation Generation (ICLR 2022).,Python,MIT,385,81,4,14,17,0.5483870967741935,0,0,,2022-02-12T08:18:16Z,2025-10-15T01:44:52Z,2023-05-17T06:31:05Z,890,0,1,False,2025-10-24T02:53:35Z,0,1,286.09999999999997,0.22140759715556516,0.0,0.0,0.5483870967741935,0.704515272244356,0.2080614910294559
pengxingang/Pocket2Mol,Pocket2Mol: Efficient Molecular Sampling Based on 3D Protein Pockets,Python,MIT,350,83,9,24,22,0.4782608695652174,0,3,0.0,2022-05-15T08:40:08Z,2025-10-23T11:23:05Z,2023-11-16T01:26:24Z,708,0,1,False,2025-10-24T02:53:43Z,0,1,262.49999999999994,0.20352300663154288,0.0,0.0,0.4782608695652174,0.7649402390438247,0.1991139059970508
robertmartin8/MolecularNotes,My Obsidian Second Brain setup,Python,MIT,359,63,8,4,1,0.2,0,0,,2022-06-12T14:05:49Z,2025-10-15T22:11:52Z,2024-12-23T19:51:45Z,304,0,2,False,2025-10-24T02:53:40Z,0,2,264.7,0.20828674329148575,0.0,0.07240096570168814,0.2,0.899070385126162,0.19007896576090966
MolecularAI/GraphINVENT,Graph neural networks for molecular design.,Python,MIT,376,73,14,10,0,0.0,0,0,,2020-08-21T14:45:19Z,2025-10-20T16:08:58Z,2023-03-11T11:55:32Z,957,0,7,True,2025-10-24T02:53:37Z,0,7,279.2,0.21696855004566895,0.0,0.2475405367435704,0.0,0.6822709163346614,0.18435436333077598
diffqc/dqc,Differentiable Quantum Chemistry (only Differentiable Density Functional Theory and Hartree Fock at the moment),Python,Apache-2.0,118,14,3,4,11,0.7333333333333333,0,0,,2020-01-08T10:49:16Z,2025-10-17T23:50:02Z,2022-03-13T06:01:35Z,1320,0,2,False,2025-10-24T02:57:05Z,0,2,85.69999999999999,0.0,0.0,0.07240096570168814,0.7333333333333333,0.5617529880478087,0.1842755402302029
lrjconan/LanczosNetwork,"Lanczos Network, Graph Neural Networks, Deep Graph Convolutional Networks, Deep Learning on Graph Structured Data, QM8 Quantum Chemistry Benchmark, ICLR 2019",Python,MIT,314,65,6,4,6,0.6,0,0,,2018-12-12T20:13:24Z,2025-05-03T09:51:59Z,2019-10-18T14:43:22Z,2197,0,1,False,2025-10-24T02:54:58Z,0,1,233.39999999999998,0.18316180393285847,0.0,0.0,0.6,0.27058432934926957,0.1628488839181416
ifding/graph-neural-networks,Graph Neural Networks for Quantum Chemistry,Python,,127,33,2,0,2,1.0,0,0,,2018-03-06T14:29:27Z,2025-10-24T02:03:51Z,2018-04-27T18:43:42Z,2736,0,1,False,2025-10-24T02:57:04Z,0,1,95.69999999999999,0.013717959195837282,0.0,0.0,1.0,0.0916334661354582,0.16259283641250513
atomistic-machine-learning/SchNet,SchNet - a deep learning architecture for quantum chemistry,Python,MIT,267,70,13,2,2,0.5,0,1,0.0,2017-10-03T11:52:20Z,2025-10-23T16:09:55Z,2018-09-04T08:42:35Z,2606,0,3,False,2025-10-24T02:55:48Z,0,3,202.2,0.15275824274333,0.0,0.12377026837178523,0.5,0.1347941567065073,0.15761154344942954
vsbuffalo/bds-files,"Supplementary files for my book, ""Bioinformatics Data Skills""",Python,MIT,697,375,67,17,3,0.15,0,0,,2013-08-14T04:51:00Z,2025-10-23T02:45:53Z,2018-10-15T01:56:45Z,2566,0,3,False,2025-10-24T03:00:03Z,0,3,569.6,0.3328686913127298,0.0,0.12377026837178523,0.15,0.14807436918990702,0.15146717684011946
brain-research/mpnn,"Open source implementation of ""Neural Message Passing for Quantum Chemistry""",Python,Apache-2.0,236,53,6,2,0,0.0,0,0,,2017-07-25T17:14:21Z,2025-10-21T12:34:49Z,2017-07-25T17:14:47Z,3012,0,1,True,2025-10-24T02:55:52Z,0,1,176.39999999999998,0.12962863011697592,0.0,0.0,0.0,0.0,0.03240715752924398
