full_name,html_url,description,language,stargazers_count,forks_count,open_issues_count,archived,topics,license,pushed_at,created_at,updated_at,default_branch
blazerye/DrugAssist,https://github.com/blazerye/DrugAssist,[Briefings In Bioinformatics] DrugAssist: A Large Language Model for Molecule Optimization,Python,136,13,0,False,ai-for-science;drug-discovery;instruction-datasets;instruction-tuning;large-language-models;molecule-generation;molecule-optimization,,2025-04-02T02:33:33Z,2023-12-27T07:48:51Z,2025-10-26T12:22:58Z,main
lbcb-sci/RiNALMo,https://github.com/lbcb-sci/RiNALMo,RiboNucleic Acid (RNA) Language Model,Python,135,25,0,False,bioinformatics;biology;foundation-model;language-model;rna;rna-secondary-structure;rna-seq;rna-structure-prediction;secondary-structure;splice-site-prediction;structural-biology,Apache-2.0,2025-10-03T19:41:10Z,2024-02-28T21:36:29Z,2025-10-23T07:40:40Z,main
art-egorov/lovis4u,https://github.com/art-egorov/lovis4u,Bioinformatics tool for Locus Visualisation,Python,134,7,2,False,,WTFPL,2025-05-13T15:18:46Z,2024-04-25T14:28:55Z,2025-10-29T01:54:10Z,main
QizhiPei/FABind,https://github.com/QizhiPei/FABind,FABind: Fast and Accurate Protein-Ligand Binding (NeurIPS 2023),Python,133,17,1,False,binding;bioinformatics;computational-biology;docking;machine-learning,MIT,2025-07-16T09:29:41Z,2023-10-10T16:48:11Z,2025-09-11T15:02:34Z,main
ArcInstitute/SRAgent,https://github.com/ArcInstitute/SRAgent,LLM agents for working with the SRA and associated bioinformatics databases.,Python,131,28,4,False,,MIT,2025-10-09T21:38:45Z,2024-11-18T18:16:12Z,2025-10-20T23:26:00Z,main
biolink/ontobio,https://github.com/biolink/ontobio,python library for working with ontologies and ontology associations,Python,131,33,135,False,bioinformatics;gene-ontology;graph;obo;obofoundry;ontology;ontology-tools;python;rdf;semantic-web;sparql,BSD-3-Clause,2025-02-11T19:03:51Z,2017-04-18T23:36:22Z,2025-10-24T21:16:08Z,master
cogent3/cogent3,https://github.com/cogent3/cogent3,Comparative Genomics Toolkit 3,Python,131,65,59,False,bioinformatics;biological-sequence-analysis;biology;biopython;data-science;evolution;genomics;markov-chain;maximum-likelihood;molecular-evolution;non-stationary;parallel;phylogenetic-trees;phylogenetics;pycogent;python;sequence-alignment;signal-processing;statistics,BSD-3-Clause,2025-10-29T00:17:14Z,2019-09-13T05:02:18Z,2025-10-29T00:17:18Z,develop
Psy-Fer/SquiggleKit,https://github.com/Psy-Fer/SquiggleKit,SquiggleKit: A toolkit for manipulating nanopore signal data,Python,128,23,22,False,bioinformatics;nanopore,MIT,2024-02-16T02:49:47Z,2018-11-21T13:12:09Z,2025-10-13T08:42:46Z,master
bcgsc/straglr,https://github.com/bcgsc/straglr,Tandem repeat expansion detection or genotyping from long-read alignments,Python,128,14,28,False,bioinformatics;genomics;long-reads;tandem-repeats,NOASSERTION,2025-09-10T15:50:10Z,2019-09-05T23:15:55Z,2025-10-12T01:08:58Z,master
biothings/mygene.info,https://github.com/biothings/mygene.info,MyGene.info: A BioThings API for gene annotations,Python,128,22,38,False,api;bioinformatics;biothings;gene;gene-annotations;ncats-translator;webservice,NOASSERTION,2025-09-02T19:05:32Z,2016-03-29T00:36:49Z,2025-09-02T19:05:36Z,master
timoast/sinto,https://github.com/timoast/sinto,Tools for single-cell data processing,Python,127,26,6,False,bioinformatics;single-cell,MIT,2024-05-27T13:31:40Z,2019-03-28T16:44:41Z,2025-09-23T13:50:36Z,master
MaxValue/Terpene-Profile-Parser-for-Cannabis-Strains,https://github.com/MaxValue/Terpene-Profile-Parser-for-Cannabis-Strains,Parser and database to index the terpene profile of different strains of Cannabis from online databases,Python,126,18,12,False,analysis;aromatherapy;bioinformatics;biological-data;biological-data-analysis;cannabis;cannabis-strains;crawler;data-science;database;health;plants;python;python-3;scrapy;terpene-profile;terpenes;web-crawler;web-crawler-python;web-crawling,,2023-04-28T23:16:29Z,2018-02-05T18:51:34Z,2025-10-20T12:23:02Z,master
jdidion/atropos,https://github.com/jdidion/atropos,"An NGS read trimming tool that is specific, sensitive, and speedy. (production)",Python,125,16,28,False,bioinformatics;ngs;python3;trimming,NOASSERTION,2025-04-29T18:41:57Z,2016-06-17T18:09:07Z,2025-10-21T06:10:35Z,1.1
biojava/biojava-tutorial,https://github.com/biojava/biojava-tutorial,:book::books:An introductory tutorial for BioJava,Python,123,42,4,False,3d-structure;bioinformatics;biojava;genomics;java;protein-disorder;protein-structure;tutorial,NOASSERTION,2024-02-23T19:46:04Z,2013-09-18T20:23:45Z,2025-05-02T12:40:49Z,master
Liu-Hy/GenoMAS,https://github.com/Liu-Hy/GenoMAS,"A minimalist multi-agent framework for rubost automation of scientific analysis workflows, such as gene expression analysis.",Python,122,16,0,False,agent;ai-agents;ai4science;bioinformatics;genomics;multi-agent-systems,MIT,2025-10-10T08:21:01Z,2024-05-13T08:47:44Z,2025-10-25T00:42:17Z,main
kreshuklab/plant-seg,https://github.com/kreshuklab/plant-seg, A tool for cell instance aware segmentation in densely packed 3D volumetric images ,Python,120,40,28,False,bioimage-analysis;bioinformatics;deep-learning;image-segmentation;neural-network;segmentation;unet,MIT,2025-10-28T15:48:03Z,2019-10-18T10:56:08Z,2025-10-28T15:48:05Z,master
QizhiPei/BioT5,https://github.com/QizhiPei/BioT5,BioT5 (EMNLP 2023) and BioT5+ (ACL 2024 Findings),Python,120,6,0,False,bioinformatics;computational-biology;cross-modal;machine-learning;nlp;nlp-applications,MIT,2024-09-14T14:01:09Z,2023-10-11T09:00:33Z,2025-10-16T06:37:47Z,main
oschwengers/platon,https://github.com/oschwengers/platon,Identification & characterization of bacterial plasmid-borne contigs from short-read draft assemblies.,Python,120,15,5,False,assembly;bacteria;bioinformatics;contigs;microbiology;ngs;plasmids;wgs,GPL-3.0,2025-01-22T11:17:31Z,2019-06-19T09:21:04Z,2025-10-28T10:24:16Z,main
yuanx749/py-cdhit,https://github.com/yuanx749/py-cdhit,"A Python package for CD-HIT, clustering protein or nucleotide sequences.",Python,120,0,0,False,bioinformatics;package;sequence-analysis;tool,GPL-2.0,2024-11-22T03:31:05Z,2023-05-25T10:49:37Z,2025-10-13T16:41:26Z,main
bioinfomaticsCSU/deepsignal,https://github.com/bioinfomaticsCSU/deepsignal,Detecting methylation using signal-level features from Nanopore sequencing reads,Python,117,21,13,False,bioinformatics;epigenetics;methylation;nanopore-sequencing;tensorflow,GPL-3.0,2023-06-04T08:27:40Z,2018-12-11T20:19:10Z,2025-10-16T21:02:37Z,master
open2c/pairtools,https://github.com/open2c/pairtools,Extract 3D contacts (.pairs) from sequencing alignments,Python,116,36,52,False,3d-genome;bioinformatics;file-formatter;hi-c;ngs;pairs-file;python,MIT,2025-10-24T12:54:02Z,2017-02-23T06:17:43Z,2025-10-22T12:58:42Z,master
ayixon/RaPDTool,https://github.com/ayixon/RaPDTool,Rapid Profiling and Deconvolution Tool for Metagenomes,Python,114,87,0,False,bioinformatics;metagenome-assembled-genomes;metagenomics;microbial-taxonomy,MIT,2024-04-09T17:42:50Z,2021-10-14T22:08:57Z,2025-08-18T03:13:25Z,2.1.0
cbalbin-bio/pymol-color-alphafold,https://github.com/cbalbin-bio/pymol-color-alphafold,PyMOL extension to color AlphaFold structures by confidence (pLDDT).,Python,114,26,5,False,alphafold;alphafold2;bioinformatics;computational-biology;protein-structure;pymol;pymol-plugin;structural-biology,MIT,2024-07-23T07:08:48Z,2021-11-16T16:49:44Z,2025-10-08T00:05:17Z,master
cansyl/DEEPScreen,https://github.com/cansyl/DEEPScreen,DEEPScreen: Virtual Screening with Deep Convolutional Neural Networks Using Compound Images,Python,114,44,7,False,2d-images-of-compounds;bioinformatics;cheminformatics;command-line-tool;convolutional-neural-networks;deep-learning;drug-discovery;drug-repurposing;drug-target-interactions;hyper-parameter-optimization;machine-learning;performance-evaluation;prediction-model,,2024-07-25T11:01:40Z,2019-01-09T13:43:35Z,2025-08-29T22:32:53Z,pytorch
CostaLab/reg-gen,https://github.com/CostaLab/reg-gen,Regulatory Genomics Toolbox: Python library and set of tools for the integrative analysis of high throughput regulatory genomics data.,Python,112,29,67,False,atac-seq;bioinformatics;chip-seq;differential-peak-calling;dnase-seq;footprinting;genomics;motif;motif-analysis;ngs,NOASSERTION,2024-11-16T07:14:46Z,2015-06-17T11:19:33Z,2025-09-10T23:08:00Z,master
AlexandrovLab/SigProfilerMatrixGenerator,https://github.com/AlexandrovLab/SigProfilerMatrixGenerator,"SigProfilerMatrixGenerator creates mutational matrices for all types of somatic mutations. It allows downsizing the generated mutations only to parts for the genome (e.g., exome or a custom BED file). The tool seamlessly integrates with other SigProfiler tools. ",Python,111,41,4,False,bioinformatics;cancer-genomics;mutation-analysis;mutational-signatures;somatic-variants,BSD-2-Clause,2025-10-29T01:27:55Z,2018-08-27T18:20:33Z,2025-10-28T21:53:13Z,master
andrew-hossack/dash-tools,https://github.com/andrew-hossack/dash-tools,"DashTools - Plotly Dash Command Line Tools - Create, Run and Deploy Templated Python Apps from Terminal",Python,111,11,8,False,bioinformatics;charting;command-line;dash;data-science;data-visualization;finance;flask;gui-framework;heroku;heroku-cli;modeling;plotly;plotly-dash;productivity;python;technical-computing;template;tools;web-app,MIT,2025-06-21T09:31:08Z,2022-04-01T19:04:41Z,2025-10-11T15:32:04Z,main
bihealth/vcfpy,https://github.com/bihealth/vcfpy,Python 3 library with good support for both reading and writing VCF,Python,109,23,11,False,bioinformatics;file-format;parsing;vcf;writing,MIT,2025-10-02T06:37:31Z,2016-09-15T07:59:19Z,2025-10-02T06:37:24Z,main
apriha/snps,https://github.com/apriha/snps,"tools for reading, writing, merging, and remapping SNPs",Python,109,18,23,False,bioinformatics;chromosomes;dna;snps;vcf,BSD-3-Clause,2025-03-22T20:29:27Z,2019-06-09T22:27:46Z,2025-10-20T13:22:32Z,main
singleron-RD/CeleScope,https://github.com/singleron-RD/CeleScope,Single Cell Analysis Pipelines,Python,108,34,31,False,bioinformatics;single-cell-analysis,MIT,2025-10-13T09:34:56Z,2020-07-29T05:44:28Z,2025-10-22T07:46:42Z,master
louiejtaylor/grabseqs,https://github.com/louiejtaylor/grabseqs,A utility for easy downloading of reads from next-gen sequencing repositories like NCBI SRA,Python,107,14,5,False,bioinformatics;conda;metagenomics;ncbi-sra;ngs;python;sra,MIT,2025-08-18T19:07:09Z,2018-10-23T12:44:49Z,2025-09-09T09:13:46Z,master
hgbrian/biomodals,https://github.com/hgbrian/biomodals,bioinformatics tools running on modal,Python,106,15,1,False,,MIT,2025-10-27T22:16:52Z,2023-11-26T20:14:58Z,2025-10-27T22:17:01Z,main
OSU-NLP-Group/ScienceAgentBench,https://github.com/OSU-NLP-Group/ScienceAgentBench,[ICLR'25] ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery,Python,106,15,4,False,ai4science;bioinformatics;chemoinformatics;code-generation;cognitive-neuroscience;geoscience;language-agent;large-language-models;task-automation,MIT,2025-08-26T18:37:32Z,2024-10-02T14:38:55Z,2025-10-18T07:24:30Z,main
lemuria-wchen/imcs21-cblue,https://github.com/lemuria-wchen/imcs21-cblue,This is the repo of the medical dialogue dataset 'imcs21' in CBLUE@Tianchi,Python,105,29,4,False,annotated-corpora;bioinformatics;healthcare-application;medical-dialogue;natural-language-understanding,,2022-12-27T02:10:03Z,2022-01-24T02:45:33Z,2025-10-28T09:36:28Z,main
althonos/peptides.py,https://github.com/althonos/peptides.py,"Physicochemical properties, indices and descriptors for amino-acid sequences.",Python,105,17,0,False,bioinformatics;protein;pure-python;qsar-models;sequence-analysis,GPL-3.0,2025-09-04T09:33:11Z,2021-10-20T00:45:25Z,2025-10-16T07:49:02Z,main
refinery-platform/refinery-platform,https://github.com/refinery-platform/refinery-platform,"The Refinery Platform is a data management, analysis and visualization system for bioinformatics and computational biology applications. The platforms consists of three major components: a data repository with rich metadata capabilities, a workflow engine based on the popular Galaxy system, and visualization tools to support the exploration and interpretation of results at all stages of the analysis process.",Python,105,22,333,False,galaxy-project;hidivelab;refinery;refinery-platform,NOASSERTION,2023-01-11T19:52:35Z,2011-11-23T20:23:20Z,2025-10-04T17:34:26Z,develop
parashardhapola/scarf,https://github.com/parashardhapola/scarf,"Toolkit for highly memory efficient analysis of single-cell RNA-Seq, scATAC-Seq and CITE-Seq data. Analyze atlas scale datasets with millions of cells on laptop.",Python,105,15,18,False,big-data;bioinformatics;cite-seq;clustering;differential-expression;dimension-reduction;gene-modules;genomics;graph-analytics;memory-efficient;multiomics;pseudotime;scalable-data-analysis;scatac-seq;scrna-seq;single-cell-atac-seq;single-cell-genomics;single-cell-rna-seq;tsne;umap,BSD-3-Clause,2025-04-15T15:32:04Z,2020-05-07T17:03:52Z,2025-10-10T12:24:05Z,master
qubekit/QUBEKit,https://github.com/qubekit/QUBEKit,  Quantum Mechanical Bespoke Force Field Derivation Toolkit,Python,102,34,33,False,bioinformatics;computational-chemistry;quantum-chemistry,MIT,2024-07-05T11:27:03Z,2019-04-10T09:17:09Z,2025-10-27T21:08:27Z,main
Russel88/CRISPRCasTyper,https://github.com/Russel88/CRISPRCasTyper,CCTyper: Automatic detection and subtyping of CRISPR-Cas operons,Python,102,21,16,False,bioinformatics;cas;crispr;crispr-analysis;crispr-cas;crispr-cas9,MIT,2024-02-15T10:41:34Z,2020-04-19T14:59:22Z,2025-10-10T02:15:07Z,master
pirovc/ganon,https://github.com/pirovc/ganon,"ganon2 classifies genomic sequences against large sets of references efficiently, with integrated download and update of databases (refseq/genbank), taxonomic profiling (ncbi/gtdb), binning and hierarchical classification, customized reporting and more",Python,102,13,3,False,bioinformatics;bloom-filter;genbank;gtdb;k-mer;metagenomics;microbiome;minimizers;ncbi;refseq;taxonomy,MIT,2025-04-10T16:11:48Z,2018-08-30T14:15:57Z,2025-08-18T04:45:08Z,master
NAL-i5K/GFF3toolkit,https://github.com/NAL-i5K/GFF3toolkit,Python programs for processing GFF3 files,Python,101,27,18,False,bioinformatics;gff;gff3;gff3-format,NOASSERTION,2024-03-27T20:40:36Z,2015-11-09T21:29:30Z,2025-10-03T17:29:05Z,master
rhysnewell/aviary,https://github.com/rhysnewell/aviary,A hybrid assembly and MAG recovery pipeline (and more!),Python,101,14,23,False,assembly;binning;bioinformatics;metagenomics;workflow,GPL-3.0,2025-10-20T01:20:57Z,2020-06-11T04:10:12Z,2025-09-24T06:07:47Z,main
GATB/bcalm,https://github.com/GATB/bcalm,compacted de Bruijn graph construction in low memory,Python,99,21,18,False,bioinformatics;debruijn;graph;unitigs,MIT,2024-10-04T12:30:53Z,2014-12-25T16:11:49Z,2025-09-09T09:01:37Z,master
ISYSLAB-HUST/ProtFlash,https://github.com/ISYSLAB-HUST/ProtFlash,ProtFlash: A lightweight protein language model,Python,99,3,2,False,bioinformatics;pretrained-models;protein-embeddings;protein-language-model;protein-representation-learning;protein-sequence,MIT,2024-03-02T03:45:43Z,2022-09-22T12:08:32Z,2025-10-16T03:55:25Z,main
biodatageeks/polars-bio,https://github.com/biodatageeks/polars-bio,Blazing-Fast Bioinformatic Operations on Python DataFrames,Python,98,25,47,False,arrow;bioinformatics;dataframes;datafusion;genomic-intervals;genomic-ranges;genomics;pandas;polars;rust-lang,Apache-2.0,2025-10-26T01:28:55Z,2024-11-26T16:58:18Z,2025-10-27T16:56:22Z,master
Bindwell/APPT,https://github.com/Bindwell/APPT,Affinity Protein-Protein Transformers—State of the art protein-protein binding affinity in seconds!,Python,98,9,1,False,binding-affinity;bioinformatics;machine-learning;protein-protein-interaction;protein-sequences,NOASSERTION,2025-02-18T04:49:44Z,2025-01-14T20:46:41Z,2025-10-21T06:58:51Z,main
ygidtu/trackplot,https://github.com/ygidtu/trackplot,"trackplot is a tool for visualizing various next-generation sequencing (NGS) data, including DNA-seq, RNA-seq, single-cell RNA-seq and full-length sequencing datasets.",Python,97,11,3,False,bioinformatics;genomics;python,BSD-3-Clause,2025-09-15T07:12:03Z,2022-04-27T08:03:16Z,2025-09-15T07:12:06Z,main
oschwengers/referenceseeker,https://github.com/oschwengers/referenceseeker,Rapid determination of appropriate reference genomes.,Python,97,6,4,False,ani;bioinformatics;mash;microbiology;reference-genomes;refseq;wgs,GPL-3.0,2025-01-22T11:20:55Z,2018-11-01T13:11:49Z,2025-09-09T09:16:00Z,main
mitoNGS/MToolBox,https://github.com/mitoNGS/MToolBox,A bioinformatics pipeline to analyze mtDNA from NGS data ,Python,96,36,49,False,bioinformatics-pipeline;mitochondrial-variants;mt-variant;mtdna;mtoolbox,GPL-3.0,2024-03-05T15:29:43Z,2015-08-02T18:54:35Z,2025-09-24T18:49:51Z,master
obi-ontology/obi,https://github.com/obi-ontology/obi,The Ontology for Biomedical Investigations,Python,96,31,261,False,bioinformatics;obo;obofoundry;ontology;owl;semantic-web,CC-BY-4.0,2025-10-24T16:55:05Z,2017-02-27T19:50:28Z,2025-10-24T16:50:41Z,master
biothings/myvariant.info,https://github.com/biothings/myvariant.info,MyVariant.info: A BioThings API for human variant annotations,Python,96,32,56,False,annotations;api;bioinformatics;biothings;ncats-translator;variant-annotations;variants;webservice,NOASSERTION,2025-09-10T21:40:32Z,2014-04-26T20:30:49Z,2025-10-09T08:58:14Z,master
jolespin/veba,https://github.com/jolespin/veba,"A modular end-to-end suite for in silico recovery, clustering, and analysis of prokaryotic, microeukaryotic, and viral genomes from metagenomes ",Python,96,10,22,False,bioinformatics;genomics;metagenomics;metatranscriptomics;microbial;microbiome,AGPL-3.0,2025-10-12T05:09:21Z,2022-04-20T08:10:10Z,2025-10-26T18:03:01Z,main
HKU-BAL/ClairS,https://github.com/HKU-BAL/ClairS,ClairS - a deep-learning method for long-read somatic small variant calling,Python,94,9,6,False,bioinformatics;deep-learning;genomics;haplotypes;illumina;indels;long-read-sequencing;long-reads;nanopore;ont;pacbio;phasing;short-reads;snvs;somatic-mutations;somatic-variants,BSD-3-Clause,2025-07-09T04:08:22Z,2021-07-29T06:48:15Z,2025-10-28T06:44:36Z,main
dib-lab/dammit,https://github.com/dib-lab/dammit,"just annotate it, dammit!",Python,93,28,79,False,annotation;bioinformatics;transcriptomics,NOASSERTION,2023-08-22T18:53:56Z,2015-09-18T09:22:12Z,2025-10-08T13:00:41Z,master
gao-lab/Cell_BLAST,https://github.com/gao-lab/Cell_BLAST,A BLAST-like toolkit for large-scale scRNA-seq data querying and annotation.,Python,93,13,8,False,bioinformatics;deep-learning;single-cell;single-cell-rna-seq,MIT,2024-07-23T06:57:29Z,2019-03-23T15:44:45Z,2025-07-09T06:14:16Z,master
KatherLab/STAMP,https://github.com/KatherLab/STAMP,Solid Tumor Associative Modeling in Pathology,Python,93,43,17,False,agents;bioimage-analysis;bioinformatics;deep-learning;digital-pathology;heatmaps-visualization-tool;histopathology;mcp;mcp-server;pathology;pathology-informatics;research;tcga-data;weakly-supervised-learning;whole-slide-imaging,MIT,2025-10-28T11:21:03Z,2023-09-22T15:27:11Z,2025-10-28T14:05:28Z,main
flexidot-bio/flexidot,https://github.com/flexidot-bio/flexidot,"Highly customizable, ambiguity-aware dotplots for visual sequence analyses",Python,92,16,9,False,bioinformatics;biology;dotplot;longest-common-subsequence;pairwise-comparisons;repetitive-dna;sequence-analysis;visualization,LGPL-2.1,2025-06-06T07:52:55Z,2018-02-26T19:04:08Z,2025-07-27T01:06:51Z,master
epigen/atacseq_pipeline,https://github.com/epigen/atacseq_pipeline,"Ultimate ATAC-seq Data Processing, Quantification and Annotation Snakemake Workflow and MrBiomics Module.",Python,91,2,3,False,atac-seq;bash;bioinformatics;biomedical-data-science;ngs;pipeline;python;snakemake;workflow,MIT,2025-09-03T17:33:46Z,2021-03-22T12:53:47Z,2025-10-08T07:44:33Z,main
AstrobioMike/bit,https://github.com/AstrobioMike/bit,Bioinformatics Tools,Python,89,13,7,False,,GPL-3.0,2025-10-02T18:49:56Z,2016-05-22T01:10:06Z,2025-10-16T14:21:06Z,master
yeeus/GCI,https://github.com/yeeus/GCI,A program for assessing the T2T genome continuity,Python,89,4,0,False,bioinformatics;genome-assembly,MIT,2025-10-09T05:29:44Z,2023-10-24T15:30:25Z,2025-10-28T03:53:09Z,main
broadinstitute/catch,https://github.com/broadinstitute/catch,A package for designing compact and comprehensive capture probe sets.,Python,89,15,6,False,bioinformatics;covid-19;dna;genome;genomics;metagenomics;ngs;science;sequencing;viral,MIT,2024-01-25T22:17:49Z,2015-01-05T16:36:28Z,2025-08-25T05:40:31Z,master
gao-lab/SLAT,https://github.com/gao-lab/SLAT,Spatial-Linked Alignment Tool,Python,88,10,0,False,bioinformatics;deep-learning;graph-neural-networks;single-cell;single-cell-analysis;spatial-data;spatial-transcriptomics,MIT,2024-12-20T15:31:13Z,2022-10-25T08:19:45Z,2025-08-19T09:17:07Z,main
yueyu1030/SumGNN,https://github.com/yueyu1030/SumGNN,[Bioinformatics 2021] This is the repo for the paper `SumGNN: Multi-typed Drug Interaction Prediction via Efficient Knowledge Graph Summarization'. ,Python,87,22,13,False,bioinformatics;biomedical-knowledge-graph;biosnap;drug-discovery;drug-drug-interaction;drugbank;gnn;graph-neural-networks;knowledge-graph;subgraph;twosides,,2024-07-25T11:05:20Z,2020-07-15T21:07:34Z,2025-08-14T03:22:32Z,master
tleonardi/nanocompore,https://github.com/tleonardi/nanocompore,RNA modifications detection from Nanopore dRNA-Seq data,Python,87,13,0,False,bioinformatics;nanopore;rna-modifications,GPL-3.0,2025-09-10T15:51:07Z,2018-08-05T10:43:07Z,2025-09-25T19:41:14Z,master
BigDataBiology/macrel,https://github.com/BigDataBiology/macrel,Predict AMPs in (meta)genomes and peptides,Python,87,13,0,False,bioinformatics;biology;genomics;metagenomics;ngless;peptide,NOASSERTION,2025-06-19T06:21:07Z,2019-07-01T02:35:37Z,2025-10-21T07:16:46Z,main
openvax/neoantigen-vaccine-pipeline,https://github.com/openvax/neoantigen-vaccine-pipeline,Bioinformatics pipeline for selecting patient-specific cancer neoantigen vaccines,Python,86,27,53,False,,Apache-2.0,2025-09-15T19:28:23Z,2017-11-01T16:46:35Z,2025-09-24T18:49:53Z,master
arzwa/wgd,https://github.com/arzwa/wgd,Python package and CLI for whole-genome duplication related analyses. **This package is deprecated in favor of** https://github.com/heche-psb/wgd.,Python,86,43,21,False,bioinformatics;duplication;evolution;genomics;polyploidy;wgd,GPL-3.0,2023-10-11T14:19:19Z,2018-01-17T14:03:31Z,2025-10-03T04:16:22Z,master
vanheeringen-lab/ANANSE,https://github.com/vanheeringen-lab/ANANSE,Prediction of key transcription factors in cell fate determination using enhancer networks. See full ANANSE documentation for detailed installation instructions and usage examples.,Python,86,15,28,False,bioinformatics;cell-fate-determination;enhancer-database;grn;key-transcription-factors,MIT,2024-03-06T15:35:47Z,2019-05-22T13:37:38Z,2025-10-27T23:47:24Z,master
typedb-osi/typedb-bio,https://github.com/typedb-osi/typedb-bio,TypeDB Bio: Biomedical Knowledge Graph,Python,85,33,2,False,bioinformatics;biomedical;drug-discovery;knowledge-base;knowledge-discovery;knowledge-graph,,2025-06-02T23:29:55Z,2020-04-17T16:27:51Z,2025-07-28T08:44:52Z,master
moshi4/ANIclustermap,https://github.com/moshi4/ANIclustermap,A tool for drawing ANI clustermap between all-vs-all microbial genomes,Python,85,11,0,False,bioinformatics;comparative-genomics;genomics;microbial-genomics;phylogenetics;phylogenomics;python;taxonomy;visualization,MIT,2025-05-03T06:09:46Z,2022-03-24T11:29:39Z,2025-09-04T01:41:38Z,main
fls-bioinformatics-core/genomics,https://github.com/fls-bioinformatics-core/genomics,"Scripts, utilities and programs for genomic bioinformatics.",Python,83,37,12,False,,NOASSERTION,2025-09-01T11:07:52Z,2011-06-15T13:00:22Z,2025-06-17T12:38:53Z,devel
DessimozLab/FastOMA,https://github.com/DessimozLab/FastOMA,FastOMA is a scalable software package to infer orthology relationship.,Python,83,17,7,False,bioinformatics;comparative-genomics;evolution;orthology,MPL-2.0,2025-10-24T08:16:12Z,2022-07-18T13:42:51Z,2025-10-07T13:55:49Z,main
KevinMenden/scaden,https://github.com/KevinMenden/scaden,Deep Learning based cell composition analysis with Scaden.,Python,82,29,19,False,bioinformatics;cell-composition-analysis;deconvolution;deep-learning;machine-learning;rna-seq;single-cell-rna-seq,MIT,2024-11-05T19:32:37Z,2019-04-24T12:57:32Z,2025-08-18T10:29:14Z,master
instadeepai/manyfold,https://github.com/instadeepai/manyfold,🧬 ManyFold: An efficient and flexible library for training and validating protein folding models,Python,82,9,3,False,bioinformatics;deep-learning;jax;protein-folding;protein-structure;python;research,NOASSERTION,2022-12-14T13:48:49Z,2022-08-31T14:14:51Z,2025-07-02T11:04:51Z,master
pymodproject/pymod,https://github.com/pymodproject/pymod,"PyMod 3 - sequence similarity searches, multiple sequence/structure alignments, and homology modeling within PyMOL.",Python,82,18,1,False,bioinformatics;homology-modeling;protein-sequences;protein-structures;pymol;pymol-plugin;sequence-alignments;similarity-searches;structural-alignments,LGPL-2.1,2025-02-28T16:04:19Z,2016-04-04T09:53:14Z,2025-07-22T07:15:28Z,master
jamiemcg/BUSCO_phylogenomics,https://github.com/jamiemcg/BUSCO_phylogenomics,BUSCO Phylogenomics | Utility script to construct species phylogenies using BUSCO proteins,Python,81,13,6,False,bayesian;bioinformatics;evolution;genomics;maximum-likelihood;phylogenetics;phylogenomics,MIT,2024-10-07T12:57:36Z,2019-11-14T00:12:57Z,2025-10-14T14:40:19Z,master
Vini2/phables,https://github.com/Vini2/phables,🫧🧬 From fragmented assemblies to high-quality bacteriophage genomes,Python,81,5,7,False,assembly-graphs;bacteriophages;bioinformatics;genomics;metagenomics,MIT,2025-10-13T23:58:49Z,2022-07-21T02:02:28Z,2025-10-18T08:27:57Z,develop
BU-ISCIII/iskylims,https://github.com/BU-ISCIII/iskylims,"is an open-source LIMS (laboratory Information Management System) for Next Generation Sequencing sample management, statistics and reports, and bioinformatics analysis service management.",Python,80,39,22,False,bioinformatics-analysis;lims;ngs;ngs-analysis;ngs-data;workflow,GPL-3.0,2025-10-01T22:10:18Z,2018-05-10T14:17:06Z,2025-10-15T14:49:15Z,main
open2c/coolpuppy,https://github.com/open2c/coolpuppy,A versatile tool to perform pile-up analysis on Hi-C data in .cool format.,Python,80,12,11,False,bioinformatics;contact-matrix;genomics;hi-c;pileup;python;sparse-matrix,MIT,2024-10-31T10:56:33Z,2018-09-03T10:39:30Z,2025-05-07T17:42:39Z,master
GooglingTheCancerGenome/sv-callers,https://github.com/GooglingTheCancerGenome/sv-callers,Snakemake-based workflow for detecting structural variants in genomic data,Python,80,36,8,False,bioinformatics;cancer-genomics;germline-variants;hpc-applications;snakemake;somatic-variants;structural-variants;sv-calling;wgs;workflow,Apache-2.0,2025-02-14T15:59:09Z,2017-04-10T23:12:15Z,2025-10-16T05:48:42Z,master
JLSteenwyk/ClipKIT,https://github.com/JLSteenwyk/ClipKIT,a multiple sequence alignment-trimming algorithm for accurate phylogenomic inference,Python,80,5,1,False,bioinformatics;evolution;evolutionary-biology;genomics;phylogenetics;phylogenomics;python;systematics,MIT,2025-10-17T18:42:24Z,2020-04-11T14:41:10Z,2025-10-21T01:05:22Z,master
KennthShang/PhaBOX,https://github.com/KennthShang/PhaBOX,Local version of the virus identification and analysis web server (tool set)  ,Python,79,6,26,False,bacteriophage;bioinformatics;dna-virus;host-prediction;lifestyle;metagenomic-analysis;taxonomy;virus,GPL-3.0,2025-10-19T06:35:43Z,2022-09-27T03:26:52Z,2025-10-27T06:19:32Z,main
bjtully/BioData,https://github.com/bjtully/BioData,"All of my various bioinformatic scripts fit for public consumption (loosely defining ""fit"")",Python,78,40,9,False,,MIT,2023-03-02T02:46:46Z,2014-09-11T21:06:27Z,2025-10-20T11:30:21Z,master
